id,title,institute,link,email,deadline,skills,date_added
1,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/MME/2025/adv27122025.pdf,s.r.meka@mt.iitr.ac.in,Not Specified,"ai, chemistry, physics",2025-12-29
2,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv26122025.pdf,nikhil.saboo@tce.iitr.ac.in,24-12-2025,ai,2025-12-29
3,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv271220251.pdf,Check PDF,Not Specified,ai,2025-12-29
4,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ICED/2025/adv231220254.pdf,Check PDF,Not Specified,ai,2025-12-29
5,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ICED/2025/adv231220253.pdf,Check PDF,Not Specified,ai,2025-12-29
6,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/DORA/2025/adv19122025.pdf,rec.dora@iitr.ac.in,Not Specified,ai,2025-12-29
7,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv171220253.pdf,s_v@ce.iitr.ac.in,Not Specified,ai,2025-12-29
8,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv22122025.pdf,anshul.jaiswal@ece.iitr.ac.in,Not Specified,"ai, physics, electronics",2025-12-29
9,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CSE/2025/adv18122025.pdf,chetan.gupta@cs.iitr.ac.in,Not Specified,ai,2025-12-29
10,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv161220253.pdf,Check PDF,Not Specified,"ai, electronics",2025-12-29
11,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/MME/2025/adv17122025.pdf,s.r.meka@mt.iitr.ac.in,Not Specified,ai,2025-12-29
12,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/MI/2025/adv161220251.pdf,s.r.meka@mt.iih.ac.in,Not Specified,ai,2025-12-29
13,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/WRDM/2025/adv16122025.pdf,Check PDF,Not Specified,"ai, physics",2025-12-29
14,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv151220252.pdf,Check PDF,Not Specified,ai,2025-12-29
15,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv15122025.pdf,sonalisa.ray@ce.iitr.ac.in,Not Specified,ai,2025-12-29
16,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/MI/2025/adv161220252.pdf,bkgandhi@me.iitr.ac.in,Not Specified,ai,2025-12-29
17,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CH/2025/adv101220252.pdf,Check PDF,Not Specified,ai,2025-12-29
18,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv111220251.pdf,Check PDF,Not Specified,ai,2025-12-29
19,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/PH/2025/adv101220251.pdf,Check PDF,32-28-5652,"ai, physics, electronics",2025-12-29
20,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/HRE/2025/adv11122025.pdf,Check PDF,Not Specified,"ai, electronics",2025-12-29
21,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv09122025.pdf,sonalisa.ray@ce.iitr.ac.in,Not Specified,ai,2025-12-29
22,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/AR/2025/adv08122025.pdf,Check PDF,Not Specified,ai,2025-12-29
23,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv081220251.pdf,karun.rawat@ece.iitr,05/12/2025,"ai, electronics",2025-12-29
24,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv06122025.pdf,Check PDF,Not Specified,"python, ai, data science",2025-12-29
25,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv041220254.pdf,Check PDF,Not Specified,,2025-12-29
26,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/PH/2025/adv041220252.pdf,Check PDF,Not Specified,ai,2025-12-29
27,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/WRDM/2025/adv041220251.pdf,basant.yadav@wq.iitr,Not Specified,"python, ai",2025-12-29
28,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/MI/2025/adv04122025.pdf,Check PDF,Not Specified,ai,2025-12-29
29,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/BSBE/2025/adv041220253.pdf,Check PDF,Not Specified,"python, ai",2025-12-29
30,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CH/2025/adv03122025.pdf,head@ch.iitr.ac.in.,Not Specified,"ai, chemistry, physics",2025-12-29
31,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv23122025.pdf,Check PDF,Not Specified,"ai, electronics",2025-12-29
32,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/AR/2025/adv021220254.pdf,ukrovfao@ar.iitr.ac.in,Not Specified,ai,2025-12-29
33,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/MA/2025/adv021220252.pdf,p.bera@ma.iitr.ac.,01.12.2025,ai,2025-12-29
34,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/WRDM/2025/adv021220256.pdf,Check PDF,Not Specified,ai,2025-12-29
35,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/WRDM/2025/adv021220255.pdf,Check PDF,Not Specified,ai,2025-12-29
36,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/AR/2025/adv021220253.pdf,office.acup@ar.iitr.ac.in,32-28-4994,ai,2025-12-29
37,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/MS/2025/adv01122025.pdf,Check PDF,Not Specified,ai,2025-12-29
38,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv301120254.pdf,pmpradhan@cce.iitr.ac.in,Not Specified,"python, ai, electronics",2025-12-29
39,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/EE/2025/adv301120251.pdf,Check PDF,Not Specified,ai,2025-12-29
40,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ICED/2025/adv30112025.pdf,head@iced.i,Not Specified,ai,2025-12-29
41,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/EQ/2025/adv021220251.pdf,Check PDF,Not Specified,ai,2025-12-29
42,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv301120253.pdf,saravana.kumar@ece.iitr.ac.in,Not Specified,"ai, electronics",2025-12-29
43,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CE/2025/adv25112025.pdf,hemant@ce.iitr.ac.in,Not Specified,ai,2025-12-29
44,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/2025/adv241120251.pdf,director.diacoe@iitr.ac.in,Not Specified,"ai, electronics",2025-12-29
45,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv151220251.pdf,Check PDF,Not Specified,"python, ai, physics, electronics, matlab, embedded",2025-12-29
46,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CSE/2025/adv181120251.pdf,rajat.sadhukhan@cs.iitr.ac.in,Not Specified,ai,2025-12-29
47,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv10122025.pdf,darshak.bhatt@ece.iitr.ac.in,Not Specified,"ai, electronics",2025-12-29
48,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ECE/2025/adv100720252.pdf,Check PDF,Not Specified,"ai, physics",2025-12-29
49,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/CSE/2025/adv13122025.pdf,rajat.sadhukhan@cs.iitr.ac.in,Not Specified,ai,2025-12-29
50,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/HY/2024/adv05112024.pdf,Check PDF,Not Specified,,2025-12-29
51,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ICED/2024/adv260920241.pdf,Check PDF,Not Specified,ai,2025-12-29
52,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/PH/2024/adv230920242.pdf,Check PDF,Not Specified,"ai, chemistry, physics",2025-12-29
53,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ICED/2024/adv240920241.pdf,Check PDF,Not Specified,"ai, sql",2025-12-29
54,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/HY/2024/adv07092024.pdf,Check PDF,Not Specified,ai,2025-12-29
55,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ICED/2024/adv280820245.pdf,Check PDF,Not Specified,"ai, physics",2025-12-29
56,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/HY/2024/adv070920242.pdf,Check PDF,46.08.2024,"ai, electronics",2025-12-29
57,view,IITR,https://iitr.ac.in/Careers/static/Project_Jobs/ICED/2024/adv17052024.pdf,Check PDF,Not Specified,"ai, physics",2025-12-29
58,ART of an Institution New,IITG,https://www.iitg.ac.in/pdf/1cce6316f0ff22105a7e4f589ed65796-12-21-46A.pdf,Check PDF,Not Specified,,2025-12-29
59,ARIIA 2020 Report New,IITG,http://www.iitg.ac.in/upload/ARI-U-0053.pdf,N/A,N/A,,2025-12-29
60,International Students,IITG,https://www.iitg.ac.in/aer/content/admissions/Admission_Guidelines_2019.pdf,N/A,N/A,,2025-12-29
61,RuTAG-NE,IITG,https://www.iitg.ac.in/uba/doc/theme/rutag.pdf,Check PDF,Not Specified,ai,2025-12-29
